,Logic,Question Route,Heap question name,Question_slug,,Headline/question,Instruction,Answers,Value Type/Branch,Answer_slug,tip tab title,tip tab format,prose tip /caption,footer,"Impact of the question/answers on the algos
(Formu, Reformu, Reco algos)",
HC,,my-lifestyle/sports,C26 HC Sports - View,sports,Any specific ingredient preferences? ,"In an average week, where do you workout?","Select all that apply, considering your life over the next 2 months.","I don’t exercise often
Indoors
Outdoors
Swimming Pool
Ocean
I work out, but not in these spaces","Everybody

Multi-select but can only select in these groups (i.e., single group select)

Group 1; Don't excersise often
Group 2: Indoors, Outdoors, Pool, Ocean
Group 3: I work out, but not in these spacesE",,Why we ask,text,"Sweating affects your hair a lot (as you've no doubt experienced), as does the environment that happens in. This gives us insight into both.",Lifestyle & Environment,low,/
HC,,my-lifestyle/zipcode,C28 HC Zip Code - View,zipcode,Any specific ingredient preferences? ,Where will you be spending most of your time in the next 2 months? ," For now, we only ship to the US. 

Your location tells us what environmental stressors your hair needs to be shielded from on a daily basis. We’ll also update your formulas throughout the year to reflect the actual weather conditions in your area.",Zip Code,Everyone,,/,/,/,Lifestyle & Environment,medium,"Silicone helps with hair detangling, softness, and smoothness. We use a professional, high-quality silicone that won’t leave any residue on your scalp or strands. Silicone is commonly found in hair care products. If you haven’t tried silicone-free products before, it may take a few weeks to get used to as it will give your hair a more natural touch/hair feeling."
HC,,my-lifestyle/geo-aggressors,C29 HC Geo Aggressors - View,geo-aggressors,What fragrance would you like?,Here’s what affects your hair in [[LOCATION]],We'll tailor your custom formulas to combact these environmental stressors — for great hair regardless of the weather.,,Everyone,,,,/,Lifestyle & Environment,,2-3 Descriptions from customers for each fragrance ( @erin)
All,for everyone without an account or not yet logged in,signin,C27 HC Sign Up/In - View,,Any specific ingredient preferences? ,Almost done. let's save your results to move forward.,"We'll use your email address to save your answers.

","First Name
Last Name
Email Address","Everyone

[promo heuristic Decision Pt #1 - what signal can we get here for presenting promo]",,,,By clicking 'NEXT' I acknowledge I have read and agree to the Prose End User License and Terms of Service and Privacy Policy,Profile,,
,,,C30 HC Preferences Intro - View,,,,,,Everyone,,,,,,,
Supp Updates,,my-preferences/exceptions,C31 HC Exceptions - View,exceptions,,Any specific haircare ingredient preferences? ,"All Prose products are already free of parabens, mineral oils, gluten, sulfates, dyes, GMOs, and animal cruelty.

Select all that apply","Vegan
Silicone-free
No thanks
","Everyone
Multi {vegan or Silicone free} or [no thanks}",,What is silicone again?,text,"Silicone helps with hair detangling, softness, and smoothness. We use a professional, high-quality silicone that won’t leave any residue on your scalp or strands. Silicone is commonly found in hair care products. If you haven’t tried silicone-free products before, it may take a few weeks to get used to as it will give your hair a more natural touch/hair feeling.",Preferences,medium,
Supp Updates,,my-preferences/fragrance,C32 HC Fragrances - View,fragrance,,What haircare fragrance would you like?, Please note that not all your products will feature this scent: some are intentionally fragrance-free or lightly scented with essential oil for sensitivity reasons.,,Everyone - Single,,Need help deciding?,text and descriptive boxes for each fragrance,2-3 Descriptions from customers for each fragrance ( @erin),Preferences,,
Supp Updates,,my-goals/goals,C33 HC Goals - View,goals,,What are you hair goals?,Select all that apply,"More volume

More shine

More smoothness

(More curl definition) type2&3&4

(More moisture) type3&4

(Less brass* ) 
color_treatment = bleach and/or permanent 
or grey_hair = full or half 
+ returning customers

More hair growth**

Less hair shedding**



*This benefit is only available in the conditioner, which will be tinted light purple
** This benefit is only available from hair supplements ","Everyone

But the options are a function of previous answers of type  dependent- curl/moisture and less brass C13/C15.2 dependent

the * only represents what disclaimer is shown on site. everyone can see these options",,Not sure? Tap for a tip,text,"More volume
If hair feels limp or flat

More shine
If hair looks dull or one-dimensional

More smoothness
To fight frizz and flyaways

More curl definition
If you want your curls to hold their shape better

More moisture
If hair feels dry, thirsty, or brittle

Less brass
To neutralize warm tones on blonde, white, or grey hair

Less hair shedding
If you notice you are shedding more hair than usual

More hair growth 
If you feel your hair is thining or prone to breakage",Preferences,medium,
,,,C34 HC Get Results Loading - View,,,,,,,,,,,,,
HC,,results/scoring,C35 HC Results Scoring - View,scoring,,"Your results are in!
",Here’s a breakdown of where your hair and scalp fall over 5 vital spectra. These results tell us exactly how much support you need in which areas--your custom formulas will be tailored to these measurements.,"Sensitivity 100/100
Sebum 100/100
Dandruff 100/100
Dryness 100/100
Damage 100/100",Everyone,,,,,Results,,
HC,,results/ingredients,C36 HC Results Ingredients - View,ingredients,,"Your star ingredients
","Based on your analysis, these are some of the natural active ingredients we’ve selected to match your precise needs. These will be the star players in your haircare lineup.


","Benefit, Ingredient Name, Effects
Benefit, Ingredient Name, Effects
Benefit, Ingredient Name, Effects
Benefit, Ingredient Name, Effects
Benefit, Ingredient Name, Effects
Benefit, Ingredient Name, Effects
Benefit, Ingredient Name, Effects
Benefit, Ingredient Name, Effects",Everyone,,,,,Results,,
